interval_start_datetime,actual_call_volume,predicted_call_volume,avg_handle_time_sec,traffic_intensity_erlangs,base_required_agents,shrinkage_adjusted_agents,expected_occupancy,service_level_probability,target_service_level,sla_target_sec,max_occupancy,shrinkage_rate
2026-01-02T02:30:00,,94.1015,558.79,29.2128,35,50,0.8347,0.8203,0.8000,20,0.8500,0.3000
2026-01-02T03:00:00,,93.9793,557.34,29.0992,35,50,0.8314,0.8278,0.8000,20,0.8500,0.3000
2026-01-02T03:30:00,,78.2923,554.64,24.1245,30,43,0.8042,0.8533,0.8000,20,0.8500,0.3000
2026-01-02T04:00:00,,78.2923,552.22,24.0191,30,43,0.8006,0.8598,0.8000,20,0.8500,0.3000
2026-01-02T04:30:00,,76.8853,550.21,23.5017,29,42,0.8104,0.8350,0.8000,20,0.8500,0.3000
2026-01-02T05:00:00,,89.3460,541.65,26.8857,33,48,0.8147,0.8521,0.8000,20,0.8500,0.3000
2026-01-02T05:30:00,,82.7930,536.68,24.6854,30,43,0.8228,0.8167,0.8000,20,0.8500,0.3000
2026-01-02T06:00:00,,93.5652,528.98,27.4965,33,48,0.8332,0.8136,0.8000,20,0.8500,0.3000
2026-01-02T06:30:00,,143.6036,523.64,41.7760,50,72,0.8355,0.8879,0.8000,20,0.8500,0.3000
2026-01-02T07:00:00,,162.3950,519.57,46.8749,56,80,0.8371,0.9037,0.8000,20,0.8500,0.3000
2026-01-02T07:30:00,,213.5427,520.58,61.7590,73,105,0.8460,0.9271,0.8000,20,0.8500,0.3000
2026-01-02T08:00:00,,262.7812,511.52,74.6760,88,126,0.8486,0.9469,0.8000,20,0.8500,0.3000
2026-01-02T08:30:00,,299.3483,514.51,85.5647,101,145,0.8472,0.9623,0.8000,20,0.8500,0.3000
2026-01-02T09:00:00,,309.8143,518.18,89.1882,105,150,0.8494,0.9632,0.8000,20,0.8500,0.3000
2026-01-02T09:30:00,,316.6292,520.05,91.4791,108,155,0.8470,0.9679,0.8000,20,0.8500,0.3000
2026-01-02T10:00:00,,344.4528,521.81,99.8552,118,169,0.8462,0.9751,0.8000,20,0.8500,0.3000
2026-01-02T10:30:00,,340.5786,522.91,98.9391,117,168,0.8456,0.9750,0.8000,20,0.8500,0.3000
2026-01-02T11:00:00,,332.4529,522.80,96.5600,114,163,0.8470,0.9720,0.8000,20,0.8500,0.3000
2026-01-02T11:30:00,,339.8109,523.23,98.7777,117,168,0.8443,0.9761,0.8000,20,0.8500,0.3000
2026-01-02T12:00:00,,341.6106,522.59,99.1785,117,168,0.8477,0.9733,0.8000,20,0.8500,0.3000
2026-01-02T12:30:00,,321.6522,525.07,93.8282,111,159,0.8453,0.9714,0.8000,20,0.8500,0.3000
2026-01-02T13:00:00,,290.0765,524.91,84.5915,100,143,0.8459,0.9623,0.8000,20,0.8500,0.3000
2026-01-02T13:30:00,,323.4424,525.27,94.3850,112,160,0.8427,0.9742,0.8000,20,0.8500,0.3000
2026-01-02T14:00:00,,328.0432,523.02,95.3183,113,162,0.8435,0.9743,0.8000,20,0.8500,0.3000
2026-01-02T14:30:00,,321.6478,525.01,93.8156,111,159,0.8452,0.9715,0.8000,20,0.8500,0.3000
2026-01-02T15:00:00,,330.2243,526.36,96.5644,114,163,0.8471,0.9718,0.8000,20,0.8500,0.3000
2026-01-02T15:30:00,,322.9091,528.03,94.7251,112,160,0.8458,0.9716,0.8000,20,0.8500,0.3000
2026-01-02T16:00:00,,287.6996,528.15,84.4165,100,143,0.8442,0.9640,0.8000,20,0.8500,0.3000
2026-01-02T16:30:00,,279.1853,529.49,82.1250,97,139,0.8466,0.9585,0.8000,20,0.8500,0.3000
2026-01-02T17:00:00,,256.3463,528.40,75.2521,89,128,0.8455,0.9512,0.8000,20,0.8500,0.3000
2026-01-02T17:30:00,,250.1634,528.35,73.4304,87,125,0.8440,0.9506,0.8000,20,0.8500,0.3000
2026-01-02T18:00:00,,222.1841,528.94,65.2902,77,110,0.8479,0.9307,0.8000,20,0.8500,0.3000
2026-01-02T18:30:00,,252.1786,534.07,74.8229,89,128,0.8407,0.9566,0.8000,20,0.8500,0.3000
2026-01-02T19:00:00,,254.1738,535.61,75.6323,89,128,0.8498,0.9452,0.8000,20,0.8500,0.3000
2026-01-02T19:30:00,,222.7340,537.12,66.4634,79,113,0.8413,0.9430,0.8000,20,0.8500,0.3000
2026-01-02T20:00:00,,245.5486,539.89,73.6497,87,125,0.8465,0.9468,0.8000,20,0.8500,0.3000
2026-01-02T20:30:00,,216.4675,539.97,64.9363,77,110,0.8433,0.9370,0.8000,20,0.8500,0.3000
2026-01-02T21:00:00,,232.3864,541.37,69.8930,83,119,0.8421,0.9474,0.8000,20,0.8500,0.3000
2026-01-02T21:30:00,,247.9619,542.55,74.7392,88,126,0.8493,0.9443,0.8000,20,0.8500,0.3000
2026-01-02T22:00:00,,232.7153,549.45,71.0365,84,121,0.8457,0.9436,0.8000,20,0.8500,0.3000
2026-01-02T22:30:00,,233.4016,552.68,71.6650,85,122,0.8431,0.9481,0.8000,20,0.8500,0.3000
2026-01-02T23:00:00,,248.7310,554.53,76.6266,91,130,0.8421,0.9564,0.8000,20,0.8500,0.3000
2026-01-02T23:30:00,,235.9573,557.29,73.0532,86,123,0.8495,0.9406,0.8000,20,0.8500,0.3000
2026-01-03T00:00:00,,233.7450,558.00,72.4616,86,123,0.8426,0.9499,0.8000,20,0.8500,0.3000
2026-01-03T00:30:00,,155.0023,558.54,48.0971,57,82,0.8438,0.8915,0.8000,20,0.8500,0.3000
2026-01-03T01:00:00,,145.2306,560.14,45.1940,54,78,0.8369,0.8957,0.8000,20,0.8500,0.3000
2026-01-03T01:30:00,,112.2704,559.95,34.9255,42,61,0.8316,0.8626,0.8000,20,0.8500,0.3000
2026-01-03T02:00:00,,93.4931,560.59,29.1176,35,50,0.8319,0.8264,0.8000,20,0.8500,0.3000
2026-01-03T02:30:00,,88.1857,558.79,27.3763,33,48,0.8296,0.8199,0.8000,20,0.8500,0.3000
2026-01-03T03:00:00,,85.6500,557.34,26.5202,32,46,0.8288,0.8155,0.8000,20,0.8500,0.3000
2026-01-03T03:30:00,,73.7189,554.64,22.7153,28,40,0.8113,0.8259,0.8000,20,0.8500,0.3000
2026-01-03T04:00:00,,76.2591,552.22,23.3953,29,42,0.8067,0.8420,0.8000,20,0.8500,0.3000
2026-01-03T04:30:00,,74.6592,550.21,22.8213,28,40,0.8150,0.8184,0.8000,20,0.8500,0.3000
2026-01-03T05:00:00,,66.7865,541.65,20.0972,25,36,0.8039,0.8185,0.8000,20,0.8500,0.3000
2026-01-03T05:30:00,,78.9008,536.68,23.5249,29,42,0.8112,0.8342,0.8000,20,0.8500,0.3000
2026-01-03T06:00:00,,101.8189,528.98,29.9221,36,52,0.8312,0.8359,0.8000,20,0.8500,0.3000
2026-01-03T06:30:00,,105.2796,523.64,30.6271,37,53,0.8278,0.8490,0.8000,20,0.8500,0.3000
2026-01-03T07:00:00,,118.5864,519.57,34.2297,41,59,0.8349,0.8539,0.8000,20,0.8500,0.3000
2026-01-03T07:30:00,,139.0975,520.58,40.2286,48,69,0.8381,0.8760,0.8000,20,0.8500,0.3000
2026-01-03T08:00:00,,151.3388,511.52,43.0068,51,73,0.8433,0.8768,0.8000,20,0.8500,0.3000
2026-01-03T08:30:00,,202.1029,514.51,57.7684,68,98,0.8495,0.9114,0.8000,20,0.8500,0.3000
2026-01-03T09:00:00,,228.7685,518.18,65.8570,78,112,0.8443,0.9383,0.8000,20,0.8500,0.3000
2026-01-03T09:30:00,,232.8224,520.05,67.2660,80,115,0.8408,0.9459,0.8000,20,0.8500,0.3000
2026-01-03T10:00:00,,247.3081,521.81,71.6935,85,122,0.8435,0.9492,0.8000,20,0.8500,0.3000
2026-01-03T10:30:00,,239.5863,522.91,69.6005,82,118,0.8488,0.9377,0.8000,20,0.8500,0.3000
2026-01-03T11:00:00,,233.0709,522.80,67.6948,80,115,0.8462,0.9385,0.8000,20,0.8500,0.3000
2026-01-03T11:30:00,,237.4964,523.23,69.0365,82,118,0.8419,0.9471,0.8000,20,0.8500,0.3000
2026-01-03T12:00:00,,235.0926,522.59,68.2535,81,116,0.8426,0.9448,0.8000,20,0.8500,0.3000
2026-01-03T12:30:00,,244.6927,525.07,71.3786,84,121,0.8497,0.9391,0.8000,20,0.8500,0.3000
2026-01-03T13:00:00,,244.2951,524.91,71.2408,84,121,0.8481,0.9414,0.8000,20,0.8500,0.3000
2026-01-03T13:30:00,,228.3162,525.27,66.6259,79,113,0.8434,0.9408,0.8000,20,0.8500,0.3000
2026-01-03T14:00:00,,236.9112,523.02,68.8384,81,116,0.8499,0.9345,0.8000,20,0.8500,0.3000
2026-01-03T14:30:00,,244.0680,525.01,71.1877,84,121,0.8475,0.9423,0.8000,20,0.8500,0.3000
2026-01-03T15:00:00,,212.2514,526.36,62.0667,74,106,0.8387,0.9393,0.8000,20,0.8500,0.3000
2026-01-03T15:30:00,,241.9402,528.03,70.9729,84,121,0.8449,0.9457,0.8000,20,0.8500,0.3000
2026-01-03T16:00:00,,241.2465,528.15,70.7863,84,121,0.8427,0.9485,0.8000,20,0.8500,0.3000
2026-01-03T16:30:00,,240.2320,529.49,70.6666,84,121,0.8413,0.9503,0.8000,20,0.8500,0.3000
2026-01-03T17:00:00,,218.9239,528.40,64.2666,76,109,0.8456,0.9326,0.8000,20,0.8500,0.3000
2026-01-03T17:30:00,,238.8918,528.35,70.1219,83,119,0.8448,0.9444,0.8000,20,0.8500,0.3000
2026-01-03T18:00:00,,212.0339,528.94,62.3075,74,106,0.8420,0.9345,0.8000,20,0.8500,0.3000
2026-01-03T18:30:00,,211.1087,534.07,62.6372,74,106,0.8464,0.9274,0.8000,20,0.8500,0.3000
2026-01-03T19:00:00,,235.0413,535.61,69.9392,83,119,0.8426,0.9469,0.8000,20,0.8500,0.3000
2026-01-03T19:30:00,,239.8067,537.12,71.5579,85,122,0.8419,0.9504,0.8000,20,0.8500,0.3000
2026-01-03T20:00:00,,242.5978,539.89,72.7646,86,123,0.8461,0.9461,0.8000,20,0.8500,0.3000
2026-01-03T20:30:00,,237.0822,539.97,71.1204,84,121,0.8467,0.9427,0.8000,20,0.8500,0.3000
2026-01-03T21:00:00,,241.9078,541.37,72.7567,86,123,0.8460,0.9462,0.8000,20,0.8500,0.3000
2026-01-03T21:30:00,,245.6648,542.55,74.0468,88,126,0.8414,0.9543,0.8000,20,0.8500,0.3000
2026-01-03T22:00:00,,245.3915,549.45,74.9059,89,128,0.8416,0.9549,0.8000,20,0.8500,0.3000
2026-01-03T22:30:00,,245.3915,552.68,75.3464,89,128,0.8466,0.9487,0.8000,20,0.8500,0.3000
2026-01-03T23:00:00,,242.3141,554.53,74.6498,88,126,0.8483,0.9451,0.8000,20,0.8500,0.3000
2026-01-03T23:30:00,,262.5741,557.29,81.2938,96,138,0.8468,0.9561,0.8000,20,0.8500,0.3000
2026-01-04T00:00:00,,227.2617,558.00,70.4517,83,119,0.8488,0.9372,0.8000,20,0.8500,0.3000
2026-01-04T00:30:00,,152.0504,558.54,47.1811,56,80,0.8425,0.8911,0.8000,20,0.8500,0.3000
2026-01-04T01:00:00,,179.7916,560.14,55.9489,66,95,0.8477,0.9073,0.8000,20,0.8500,0.3000
2026-01-04T01:30:00,,137.7141,559.95,42.8406,51,73,0.8400,0.8801,0.8000,20,0.8500,0.3000
2026-01-04T02:00:00,,127.7617,560.59,39.7902,47,68,0.8466,0.8510,0.8000,20,0.8500,0.3000
2026-01-04T02:30:00,,94.9043,558.79,29.4621,35,50,0.8418,0.8032,0.8000,20,0.8500,0.3000
2026-01-04T03:00:00,,97.7949,557.34,30.2806,36,52,0.8411,0.8108,0.8000,20,0.8500,0.3000
2026-01-04T03:30:00,,77.8045,554.64,23.9742,30,43,0.7991,0.8623,0.8000,20,0.8500,0.3000
2026-01-04T04:00:00,,79.2242,552.22,24.3050,30,43,0.8102,0.8420,0.8000,20,0.8500,0.3000
2026-01-04T04:30:00,,79.4745,550.21,24.2932,30,43,0.8098,0.8429,0.8000,20,0.8500,0.3000
2026-01-04T05:00:00,,69.2509,541.65,20.8388,26,38,0.8015,0.8312,0.8000,20,0.8500,0.3000
2026-01-04T05:30:00,,66.2539,536.68,19.7541,25,36,0.7902,0.8447,0.8000,20,0.8500,0.3000
2026-01-04T06:00:00,,85.4622,528.98,25.1153,31,45,0.8102,0.8497,0.8000,20,0.8500,0.3000
2026-01-04T06:30:00,,106.7793,523.64,31.0633,37,53,0.8395,0.8228,0.8000,20,0.8500,0.3000
2026-01-04T07:00:00,,151.4948,519.57,43.7286,52,75,0.8409,0.8843,0.8000,20,0.8500,0.3000
2026-01-04T07:30:00,,195.2566,520.58,56.4705,67,96,0.8428,0.9204,0.8000,20,0.8500,0.3000
2026-01-04T08:00:00,,201.4736,511.52,57.2538,68,98,0.8420,0.9245,0.8000,20,0.8500,0.3000
2026-01-04T08:30:00,,233.6945,514.51,66.7984,79,113,0.8455,0.9383,0.8000,20,0.8500,0.3000
2026-01-04T09:00:00,,242.6440,518.18,69.8515,83,119,0.8416,0.9491,0.8000,20,0.8500,0.3000
2026-01-04T09:30:00,,262.1299,520.05,75.7334,90,129,0.8415,0.9575,0.8000,20,0.8500,0.3000
2026-01-04T10:00:00,,243.3837,521.81,70.5558,84,121,0.8399,0.9522,0.8000,20,0.8500,0.3000
2026-01-04T10:30:00,,262.1299,522.91,76.1495,90,129,0.8461,0.9519,0.8000,20,0.8500,0.3000
2026-01-04T11:00:00,,251.1439,522.80,72.9440,86,123,0.8482,0.9442,0.8000,20,0.8500,0.3000
2026-01-04T11:30:00,,240.6446,523.23,69.9516,83,119,0.8428,0.9473,0.8000,20,0.8500,0.3000
2026-01-04T12:00:00,,253.6272,522.59,73.6346,87,125,0.8464,0.9479,0.8000,20,0.8500,0.3000
2026-01-04T12:30:00,,281.7055,525.07,82.1755,97,139,0.8472,0.9581,0.8000,20,0.8500,0.3000
2026-01-04T13:00:00,,251.4423,524.91,73.3251,87,125,0.8428,0.9523,0.8000,20,0.8500,0.3000
2026-01-04T13:30:00,,257.3978,525.27,75.1123,89,128,0.8440,0.9533,0.8000,20,0.8500,0.3000
2026-01-04T14:00:00,,257.3978,523.02,74.7911,88,126,0.8499,0.9445,0.8000,20,0.8500,0.3000
2026-01-04T14:30:00,,240.5211,525.01,70.1532,83,119,0.8452,0.9440,0.8000,20,0.8500,0.3000
2026-01-04T15:00:00,,275.8071,526.36,80.6517,95,136,0.8490,0.9538,0.8000,20,0.8500,0.3000
2026-01-04T15:30:00,,249.1652,528.03,73.0924,86,123,0.8499,0.9415,0.8000,20,0.8500,0.3000
2026-01-04T16:00:00,,254.7267,528.15,74.7416,88,126,0.8493,0.9450,0.8000,20,0.8500,0.3000
2026-01-04T16:30:00,,242.8840,529.49,71.4467,85,122,0.8405,0.9524,0.8000,20,0.8500,0.3000
2026-01-04T17:00:00,,247.4611,528.40,72.6438,86,123,0.8447,0.9485,0.8000,20,0.8500,0.3000
2026-01-04T17:30:00,,237.1266,528.35,69.6037,82,118,0.8488,0.9373,0.8000,20,0.8500,0.3000
2026-01-04T18:00:00,,254.1554,528.94,74.6852,88,126,0.8487,0.9458,0.8000,20,0.8500,0.3000
2026-01-04T18:30:00,,232.0915,534.07,68.8630,82,118,0.8398,0.9493,0.8000,20,0.8500,0.3000
2026-01-04T19:00:00,,230.4223,535.61,68.5648,81,116,0.8465,0.9388,0.8000,20,0.8500,0.3000
2026-01-04T19:30:00,,208.7865,537.12,62.3015,74,106,0.8419,0.9342,0.8000,20,0.8500,0.3000
2026-01-04T20:00:00,,213.6303,539.89,64.0761,76,109,0.8431,0.9357,0.8000,20,0.8500,0.3000
2026-01-04T20:30:00,,230.5990,539.97,69.1755,82,118,0.8436,0.9441,0.8000,20,0.8500,0.3000
2026-01-04T21:00:00,,242.7128,541.37,72.9988,86,123,0.8488,0.9423,0.8000,20,0.8500,0.3000
2026-01-04T21:30:00,,210.8876,542.55,63.5645,75,108,0.8475,0.9270,0.8000,20,0.8500,0.3000
2026-01-04T22:00:00,,249.6336,549.45,76.2008,90,129,0.8467,0.9499,0.8000,20,0.8500,0.3000
2026-01-04T22:30:00,,241.6319,552.68,74.1921,88,126,0.8431,0.9519,0.8000,20,0.8500,0.3000
2026-01-04T23:00:00,,201.7422,554.53,62.1508,74,106,0.8399,0.9363,0.8000,20,0.8500,0.3000
2026-01-04T23:30:00,,184.3941,557.29,57.0890,68,98,0.8395,0.9257,0.8000,20,0.8500,0.3000
2026-01-05T00:00:00,,156.3137,558.00,48.4577,58,83,0.8355,0.9095,0.8000,20,0.8500,0.3000
2026-01-05T00:30:00,,123.0796,558.54,38.1915,45,65,0.8487,0.8377,0.8000,20,0.8500,0.3000
2026-01-05T01:00:00,,109.3119,560.14,34.0165,41,59,0.8297,0.8620,0.8000,20,0.8500,0.3000
2026-01-05T01:30:00,,84.5284,559.95,26.2954,32,46,0.8217,0.8307,0.8000,20,0.8500,0.3000
2026-01-05T02:00:00,,78.4767,560.59,24.4409,30,43,0.8147,0.8324,0.8000,20,0.8500,0.3000
2026-01-05T02:30:00,,61.3507,558.79,19.0457,24,35,0.7936,0.8292,0.8000,20,0.8500,0.3000
2026-01-05T03:00:00,,49.9806,557.34,15.4757,20,29,0.7738,0.8282,0.8000,20,0.8500,0.3000
2026-01-05T03:30:00,,59.7065,554.64,18.3976,23,33,0.7999,0.8084,0.8000,20,0.8500,0.3000
2026-01-05T04:00:00,,72.5032,552.22,22.2430,28,40,0.7944,0.8579,0.8000,20,0.8500,0.3000
2026-01-05T04:30:00,,81.5091,550.21,24.9151,31,45,0.8037,0.8605,0.8000,20,0.8500,0.3000
2026-01-05T05:00:00,,87.7482,541.65,26.4049,32,46,0.8252,0.8245,0.8000,20,0.8500,0.3000
2026-01-05T05:30:00,,88.4295,536.68,26.3659,32,46,0.8239,0.8275,0.8000,20,0.8500,0.3000
2026-01-05T06:00:00,,115.7480,528.98,34.0155,41,59,0.8296,0.8640,0.8000,20,0.8500,0.3000
2026-01-05T06:30:00,,131.3842,523.64,38.2212,45,65,0.8494,0.8387,0.8000,20,0.8500,0.3000
2026-01-05T07:00:00,,198.3044,519.57,57.2401,68,98,0.8418,0.9243,0.8000,20,0.8500,0.3000
2026-01-05T07:30:00,,235.9192,520.58,68.2305,81,116,0.8424,0.9453,0.8000,20,0.8500,0.3000
2026-01-05T08:00:00,,295.3064,511.52,83.9188,99,142,0.8477,0.9601,0.8000,20,0.8500,0.3000
2026-01-05T08:30:00,,327.2556,514.51,93.5416,111,159,0.8427,0.9740,0.8000,20,0.8500,0.3000
2026-01-05T09:00:00,,362.6265,518.18,104.3916,123,176,0.8487,0.9761,0.8000,20,0.8500,0.3000
2026-01-05T09:30:00,,386.0289,520.05,111.5297,132,189,0.8449,0.9828,0.8000,20,0.8500,0.3000
2026-01-05T10:00:00,,384.7942,521.81,111.5500,132,189,0.8451,0.9827,0.8000,20,0.8500,0.3000
2026-01-05T10:30:00,,386.0289,522.91,112.1425,132,189,0.8496,0.9797,0.8000,20,0.8500,0.3000
2026-01-05T11:00:00,,386.1923,522.80,112.1684,132,189,0.8498,0.9795,0.8000,20,0.8500,0.3000
2026-01-05T11:30:00,,385.4315,523.23,112.0389,132,189,0.8488,0.9802,0.8000,20,0.8500,0.3000
2026-01-05T12:00:00,,365.2611,522.59,106.0449,125,179,0.8484,0.9772,0.8000,20,0.8500,0.3000
2026-01-05T12:30:00,,347.6841,525.07,101.4219,120,172,0.8452,0.9769,0.8000,20,0.8500,0.3000
2026-01-05T13:00:00,,361.8993,524.91,105.5363,125,179,0.8443,0.9801,0.8000,20,0.8500,0.3000
2026-01-05T13:30:00,,367.4668,525.27,107.2319,127,182,0.8443,0.9809,0.8000,20,0.8500,0.3000
2026-01-05T14:00:00,,361.8993,523.02,105.1557,124,178,0.8480,0.9770,0.8000,20,0.8500,0.3000
2026-01-05T14:30:00,,347.1990,525.01,101.2681,120,172,0.8439,0.9779,0.8000,20,0.8500,0.3000
2026-01-05T15:00:00,,360.7567,526.36,105.4927,125,179,0.8439,0.9803,0.8000,20,0.8500,0.3000
2026-01-05T15:30:00,,347.6250,528.03,101.9754,120,172,0.8498,0.9731,0.8000,20,0.8500,0.3000
2026-01-05T16:00:00,,342.2463,528.15,100.4215,119,170,0.8439,0.9773,0.8000,20,0.8500,0.3000
2026-01-05T16:30:00,,317.9915,529.49,93.5403,111,159,0.8427,0.9735,0.8000,20,0.8500,0.3000
2026-01-05T17:00:00,,291.7616,528.40,85.6485,101,145,0.8480,0.9608,0.8000,20,0.8500,0.3000
2026-01-05T17:30:00,,293.8465,528.35,86.2527,102,146,0.8456,0.9642,0.8000,20,0.8500,0.3000
2026-01-05T18:00:00,,276.6649,528.94,81.2998,96,138,0.8469,0.9572,0.8000,20,0.8500,0.3000
2026-01-05T18:30:00,,239.8766,534.07,71.1729,84,121,0.8473,0.9421,0.8000,20,0.8500,0.3000
2026-01-05T19:00:00,,277.1435,535.61,82.4672,98,140,0.8415,0.9646,0.8000,20,0.8500,0.3000
2026-01-05T19:30:00,,275.3505,537.12,82.1641,97,139,0.8471,0.9577,0.8000,20,0.8500,0.3000
2026-01-05T20:00:00,,259.7038,539.89,77.8954,92,132,0.8467,0.9527,0.8000,20,0.8500,0.3000
