model,interval_start_datetime,actual_call_volume,predicted_call_volume,avg_handle_time_sec,traffic_intensity_erlangs,base_required_agents,shrinkage_adjusted_agents,expected_occupancy,service_level_probability,target_service_level,sla_target_sec,max_occupancy,shrinkage_rate
gradient_boosting,2026-01-02T02:00:00,,88.5434,560.59,27.5761,33,48,0.8356,0.8057,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T02:30:00,,83.4482,558.79,25.9056,32,46,0.8096,0.8552,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T03:00:00,,86.2807,557.34,26.7154,32,46,0.8349,0.8013,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T03:30:00,,76.1952,554.64,23.4783,29,42,0.8096,0.8363,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T04:00:00,,76.1952,552.22,23.3757,29,42,0.8061,0.8433,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T04:30:00,,76.1952,550.21,23.2908,29,42,0.8031,0.8490,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T05:00:00,,85.6452,541.65,25.7721,31,45,0.8314,0.8039,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T05:30:00,,81.0673,536.68,24.1708,30,43,0.8057,0.8514,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T06:00:00,,89.9308,528.98,26.4285,32,46,0.8259,0.8238,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T06:30:00,,141.1613,523.64,41.0655,49,70,0.8381,0.8795,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T07:00:00,,147.1500,519.57,42.4745,50,72,0.8495,0.8591,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T07:30:00,,208.3278,520.58,60.2508,71,102,0.8486,0.9190,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T08:00:00,,233.6297,511.52,66.3918,79,113,0.8404,0.9455,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T08:30:00,,263.2928,514.51,75.2587,89,128,0.8456,0.9518,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T09:00:00,,284.3145,518.18,81.8474,97,139,0.8438,0.9621,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T09:30:00,,292.9189,520.05,84.6288,100,143,0.8463,0.9621,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T10:00:00,,320.6379,521.81,92.9514,110,158,0.8450,0.9711,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T10:30:00,,312.6746,522.91,90.8329,107,153,0.8489,0.9652,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T11:00:00,,305.3343,522.80,88.6835,105,150,0.8446,0.9678,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T11:30:00,,312.6746,523.23,90.8896,107,153,0.8494,0.9646,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T12:00:00,,322.7269,522.59,93.6961,111,159,0.8441,0.9725,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T12:30:00,,304.0839,525.07,88.7034,105,150,0.8448,0.9676,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T13:00:00,,278.3720,524.91,81.1783,96,138,0.8456,0.9588,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T13:30:00,,306.1221,525.27,89.3307,106,152,0.8427,0.9702,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T14:00:00,,311.4242,523.02,90.4893,107,153,0.8457,0.9683,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T14:30:00,,301.9498,525.01,88.0702,104,149,0.8468,0.9648,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T15:00:00,,312.2796,526.36,91.3170,108,155,0.8455,0.9691,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T15:30:00,,283.5977,528.03,83.1931,98,140,0.8489,0.9569,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T16:00:00,,258.2788,528.15,75.7839,90,129,0.8420,0.9565,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T16:30:00,,252.0092,529.49,74.1309,88,126,0.8424,0.9538,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T17:00:00,,236.5961,528.40,69.4543,82,118,0.8470,0.9400,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T17:30:00,,231.9594,528.35,68.0870,81,116,0.8406,0.9472,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T18:00:00,,215.8166,528.94,63.4191,75,108,0.8456,0.9309,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T18:30:00,,223.5927,534.07,66.3413,79,113,0.8398,0.9452,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T19:00:00,,225.1019,535.61,66.9817,79,113,0.8479,0.9337,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T19:30:00,,212.5451,537.12,63.4231,75,108,0.8456,0.9303,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T20:00:00,,220.3028,539.89,66.0775,78,112,0.8471,0.9329,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T20:30:00,,201.9963,539.97,60.5952,72,103,0.8416,0.9310,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T21:00:00,,217.0363,541.37,65.2763,77,110,0.8477,0.9302,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T21:30:00,,220.3028,542.55,66.4023,79,113,0.8405,0.9438,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T22:00:00,,217.0363,549.45,66.2505,78,112,0.8494,0.9289,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T22:30:00,,217.0363,552.68,66.6401,79,113,0.8435,0.9391,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T23:00:00,,226.0762,554.53,69.6474,82,118,0.8494,0.9351,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T23:30:00,,215.8444,557.29,66.8261,79,113,0.8459,0.9355,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T00:00:00,,213.8091,558.00,66.2814,78,112,0.8498,0.9278,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T00:30:00,,161.5859,558.54,50.1400,59,85,0.8498,0.8851,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T01:00:00,,148.8576,560.14,46.3227,55,79,0.8422,0.8886,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T01:30:00,,104.8710,559.95,32.6236,39,56,0.8365,0.8378,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T02:00:00,,84.8263,560.59,26.4184,32,46,0.8256,0.8224,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T02:30:00,,88.2344,558.79,27.3915,33,48,0.8300,0.8188,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T03:00:00,,83.9828,557.34,26.0039,32,46,0.8126,0.8494,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T03:30:00,,76.7298,554.64,23.6431,29,42,0.8153,0.8248,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T04:00:00,,79.4358,552.22,24.3699,30,43,0.8123,0.8377,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T04:30:00,,77.9017,550.21,23.8124,29,42,0.8211,0.8126,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T05:00:00,,76.7298,541.65,23.0893,29,42,0.7962,0.8619,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T05:30:00,,86.2187,536.68,25.7067,31,45,0.8292,0.8092,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T06:00:00,,107.9603,528.98,31.7269,38,55,0.8349,0.8383,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T06:30:00,,112.3765,523.64,32.6916,39,56,0.8382,0.8364,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T07:00:00,,126.7406,519.57,36.5834,44,63,0.8314,0.8739,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T07:30:00,,150.4143,520.58,43.5015,52,75,0.8366,0.8926,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T08:00:00,,169.9826,511.52,48.3049,57,82,0.8475,0.8875,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T08:30:00,,209.6237,514.51,59.9181,71,102,0.8439,0.9271,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T09:00:00,,229.1677,518.18,65.9720,78,112,0.8458,0.9362,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T09:30:00,,236.9559,520.05,68.4602,81,116,0.8452,0.9415,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T10:00:00,,264.4284,521.81,76.6566,91,130,0.8424,0.9575,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T10:30:00,,249.8461,522.91,72.5810,86,123,0.8440,0.9497,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T11:00:00,,236.9559,522.80,68.8232,81,116,0.8497,0.9348,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T11:30:00,,244.8557,523.23,71.1757,84,121,0.8473,0.9426,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T12:00:00,,243.6053,522.59,70.7250,84,121,0.8420,0.9497,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T12:30:00,,272.1736,525.07,79.3950,94,135,0.8446,0.9579,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T13:00:00,,261.8923,524.91,76.3725,90,129,0.8486,0.9486,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T13:30:00,,234.7528,525.27,68.5041,81,116,0.8457,0.9405,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T14:00:00,,245.1569,523.02,71.2343,84,121,0.8480,0.9417,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T14:30:00,,269.9564,525.01,78.7386,93,133,0.8467,0.9545,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T15:00:00,,220.8887,526.36,64.5924,76,109,0.8499,0.9259,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T15:30:00,,243.1660,528.03,71.3325,84,121,0.8492,0.9397,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T16:00:00,,234.2137,528.15,68.7227,81,116,0.8484,0.9364,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T16:30:00,,231.4090,529.49,68.0712,81,116,0.8404,0.9474,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T17:00:00,,227.9822,528.40,66.9257,79,113,0.8472,0.9351,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T17:30:00,,235.4752,528.35,69.1190,82,118,0.8429,0.9456,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T18:00:00,,215.8166,528.94,63.4191,75,108,0.8456,0.9309,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T18:30:00,,213.0797,534.07,63.2220,75,108,0.8430,0.9345,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T19:00:00,,222.5779,535.61,66.2306,78,112,0.8491,0.9301,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T19:30:00,,226.6108,537.12,67.6203,80,115,0.8453,0.9390,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T20:00:00,,228.6991,539.89,68.5958,81,116,0.8469,0.9381,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T20:30:00,,224.1273,539.97,67.2341,80,115,0.8404,0.9455,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T21:00:00,,227.7280,541.37,68.4919,81,116,0.8456,0.9398,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T21:30:00,,228.6991,542.55,68.9331,82,118,0.8406,0.9478,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T22:00:00,,227.7280,549.45,69.5141,82,118,0.8477,0.9378,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T22:30:00,,227.7280,552.68,69.9229,83,119,0.8424,0.9464,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T23:00:00,,225.6365,554.53,69.5119,82,118,0.8477,0.9376,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-03T23:30:00,,236.0436,557.29,73.0799,86,123,0.8498,0.9402,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T00:00:00,,212.4533,558.00,65.8611,78,112,0.8444,0.9361,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T00:30:00,,157.1906,558.54,48.7761,58,83,0.8410,0.8998,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T01:00:00,,184.5154,560.14,57.4189,68,98,0.8444,0.9176,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T01:30:00,,142.7859,559.95,44.4184,53,76,0.8381,0.8904,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T02:00:00,,126.2185,560.59,39.3096,47,68,0.8364,0.8731,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T02:30:00,,99.2150,558.79,30.8003,37,53,0.8324,0.8365,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T03:00:00,,103.0539,557.34,31.9090,38,55,0.8397,0.8254,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T03:30:00,,81.2202,554.64,25.0267,31,45,0.8073,0.8536,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T04:00:00,,85.4718,552.22,26.2216,32,46,0.8194,0.8360,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T04:30:00,,85.4718,550.21,26.1264,32,46,0.8164,0.8422,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T05:00:00,,76.7298,541.65,23.0893,29,42,0.7962,0.8619,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T05:30:00,,78.8959,536.68,23.5234,29,42,0.8112,0.8343,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T06:00:00,,89.9308,528.98,26.4285,32,46,0.8259,0.8238,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T06:30:00,,114.0493,523.64,33.1783,40,58,0.8295,0.8602,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T07:00:00,,170.9365,519.57,49.3404,59,85,0.8363,0.9130,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T07:30:00,,201.7811,520.58,58.3574,69,99,0.8458,0.9197,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T08:00:00,,208.4437,511.52,59.2346,70,100,0.8462,0.9216,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T08:30:00,,238.7097,514.51,68.2320,81,116,0.8424,0.9456,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T09:00:00,,258.4824,518.18,74.4110,88,126,0.8456,0.9504,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T09:30:00,,277.7898,520.05,80.2578,95,136,0.8448,0.9589,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T10:00:00,,257.9694,521.81,74.7841,88,126,0.8498,0.9446,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T10:30:00,,277.7898,522.91,80.6987,95,136,0.8495,0.9534,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T11:00:00,,273.6175,522.80,79.4714,94,135,0.8454,0.9571,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T11:30:00,,250.0397,523.23,72.6826,86,123,0.8451,0.9482,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T12:00:00,,274.5013,522.59,79.6949,94,135,0.8478,0.9543,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T12:30:00,,289.8049,525.07,84.5381,100,143,0.8454,0.9628,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T13:00:00,,274.5013,524.91,80.0495,95,136,0.8426,0.9611,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T13:30:00,,276.5394,525.27,80.6981,95,136,0.8495,0.9533,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T14:00:00,,276.5394,523.02,80.3530,95,136,0.8458,0.9577,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T14:30:00,,256.7191,525.01,74.8777,89,128,0.8413,0.9563,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T15:00:00,,291.7563,526.36,85.3156,101,145,0.8447,0.9643,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T15:30:00,,246.6630,528.03,72.3583,86,123,0.8414,0.9527,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T16:00:00,,251.8993,528.15,73.9120,87,125,0.8496,0.9433,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T16:30:00,,235.2033,529.49,69.1873,82,118,0.8437,0.9444,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T17:00:00,,240.8556,528.40,70.7048,84,121,0.8417,0.9498,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T17:30:00,,234.4910,528.35,68.8301,81,116,0.8498,0.9344,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T18:00:00,,244.5498,528.94,71.8625,85,122,0.8454,0.9463,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T18:30:00,,222.7715,534.07,66.0977,78,112,0.8474,0.9328,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T19:00:00,,221.0309,535.61,65.7703,78,112,0.8432,0.9389,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T19:30:00,,213.2732,537.12,63.6404,75,108,0.8485,0.9257,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T20:00:00,,217.7644,539.89,65.3161,77,110,0.8483,0.9295,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T20:30:00,,222.7715,539.97,66.8274,79,113,0.8459,0.9364,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T21:00:00,,228.8927,541.37,68.8422,81,116,0.8499,0.9334,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T21:30:00,,213.2732,542.55,64.2835,76,109,0.8458,0.9314,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T22:00:00,,230.4443,549.45,70.3433,83,119,0.8475,0.9396,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T22:30:00,,225.8301,552.68,69.3402,82,118,0.8456,0.9407,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T23:00:00,,202.7245,554.53,62.4534,74,106,0.8440,0.9302,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-04T23:30:00,,188.2287,557.29,58.2762,69,99,0.8446,0.9195,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T00:00:00,,183.2160,558.00,56.7974,67,96,0.8477,0.9097,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T00:30:00,,141.9188,558.54,44.0373,52,75,0.8469,0.8693,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T01:00:00,,131.7947,560.14,41.0129,49,70,0.8370,0.8792,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T01:30:00,,99.6812,559.95,31.0092,37,53,0.8381,0.8236,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T02:00:00,,93.2109,560.59,29.0297,35,50,0.8294,0.8320,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T02:30:00,,78.6815,558.79,24.4259,30,43,0.8142,0.8336,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T03:00:00,,75.9754,557.34,23.5246,29,42,0.8112,0.8330,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T03:30:00,,74.1912,554.64,22.8608,28,40,0.8165,0.8151,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T04:00:00,,85.8090,552.22,26.3251,32,46,0.8227,0.8292,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T04:30:00,,89.4112,550.21,27.3305,33,48,0.8282,0.8235,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T05:00:00,,80.3421,541.65,24.1763,30,43,0.8059,0.8508,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T05:30:00,,77.8914,536.68,23.2239,29,42,0.8008,0.8540,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-05T06:00:00,,94.4600,528.98,27.7595,34,49,0.8165,0.8552,0.8000,20,0.8500,0.3000
